,Rank,Player,Pos,"Team Currently With","Age At Signing","Start Year","End Year",Yrs,Value,"Average Salary","Average pct of Cap At Sign","Guarantee at Sign","Practical Guarantee",Year
114,15,Jahmyr Gibbs,RB,"DET
DET",21,2023,2027,4,"$17,845,130","$4,461,283",1.98%,"$17,845,130","$17,845,130",rb
115,16,Devin Singletary,RB,"NYG
NYG",26,2024,2026,3,"$16,500,000","$5,500,000",2.15%,"$9,500,000","$9,500,000",rb
116,17,Derrick Henry,RB,"BAL
BAL",30,2024,2025,2,"$16,000,000","$8,000,000",3.13%,"$9,000,000","$9,000,000",rb
117,18,Najee Harris,RB,"PIT
PIT",22,2021,2024,4,"$13,047,447","$3,261,862",1.79%,"$13,047,447","$13,047,447",rb
118,19,Travis Etienne,RB,"JAX
JAX",21,2021,2025,4,"$12,898,105","$3,224,526",1.77%,"$12,898,105","$12,898,105",rb
119,20,Jamaal Williams,RB,"NO
NO",27,2023,2025,3,"$12,000,000","$4,000,000",1.78%,"$8,150,000","$8,150,000",rb
120,21,Antonio Gibson,RB,"NE
NE",25,2024,2026,3,"$11,250,000","$3,750,000",1.47%,"$5,300,000","$5,300,000",rb
121,22,Breece Hall,RB,"NYJ
NYJ",20,2022,2025,4,"$9,014,774","$2,253,694",1.08%,"$6,375,487","$6,375,487",rb
122,23,Javonte Williams,RB,"DEN
DEN",20,2021,2024,4,"$8,865,753","$2,216,438",1.21%,"$4,870,809","$4,870,809",rb
123,24,Kenneth Walker,RB,"SEA
SEA",21,2022,2025,4,"$8,441,581","$2,110,395",1.01%,"$5,439,040","$5,439,040",rb
124,25,Austin Ekeler,RB,"WAS
WAS",28,2024,2025,2,"$8,430,000","$4,215,000",1.65%,"$4,210,000","$4,210,000",rb
125,26,Jonathon Brooks,RB,"CAR
CAR",20,2024,2027,4,"$8,417,082","$2,104,271",0.82%,"$4,914,107","$4,914,107",rb
126,27,DeeJay Dallas,RB,"ARI
ARI",25,2024,2026,3,"$8,250,000","$2,750,000",1.08%,"$2,395,000","$2,395,000",rb
127,28,Zack Moss,RB,"CIN
CIN",26,2024,2025,2,"$8,000,000","$4,000,000",1.57%,"$3,000,000","$3,000,000",rb
128,29,Aaron Jones,RB,"MIN
MIN",29,2024,2024,1,"$7,000,000","$7,000,000",2.74%,"$7,000,000","$7,000,000",rb
129,30,Zach Charbonnet,RB,"SEA
SEA",22,2023,2026,4,"$6,876,079","$1,719,020",0.76%,"$3,813,333","$3,813,333",rb
130,31,Gus Edwards,RB,"LAC
LAC",28,2024,2025,2,"$6,500,000","$3,250,000",1.27%,"$3,375,000","$3,375,000",rb
131,32,Trey Benson,RB,"ARI
ARI",21,2024,2027,4,"$6,059,606","$1,514,902",0.59%,"$1,226,984","$1,226,984",rb
132,T33,Jeff Wilson,RB,"MIA
MIA",27,2023,2024,2,"$6,000,000","$3,000,000",1.33%,"$2,645,000","$2,645,000",rb
133,T33,Cordarrelle Patterson,RB,"PIT
PIT",33,2024,2025,2,"$6,000,000","$3,000,000",1.17%,"$1,900,000","$1,900,000",rb
134,T33,Justice Hill,RB,"BAL
BAL",26,2024,2026,2,"$6,000,000","$3,000,000",1.17%,"$4,218,954","$4,218,954",rb
135,36,Marshawn Lloyd,RB,"GB
GB",23,2024,2027,4,"$5,840,698","$1,460,175",0.57%,"$959,284","$959,284",rb
136,37,James Cook,RB,"BUF
BUF",22,2022,2025,4,"$5,832,057","$1,458,014",0.70%,"$2,391,590","$2,391,590",rb
137,38,Blake Corum,RB,"LAR
LAR",23,2024,2027,4,"$5,763,762","$1,440,941",0.56%,"$1,011,828","$1,011,828",rb
138,39,Kendre Miller,RB,"NO
NO",20,2023,2026,4,"$5,654,319","$1,413,580",0.63%,"$1,112,232","$1,112,232",rb
